customer_id,age,gender,income,region,purchase_amount,calculated_clv,clv_tier
6476,66,Male,86603.77,CAR,4998.67,89976.06,Platinum
1153,57,Other,98908.99,"Region VIII",4995.62,89921.16,Platinum
4581,58,Other,90441.27,"Region I",4995.50,89919.00,Platinum
2576,60,Female,87247.90,CAR,4993.86,89889.48,Platinum
737,71,Male,90208.01,"Region I",4993.03,89874.54,Platinum
1221,65,Female,95030.11,"Region IV-B",4984.22,89715.96,Platinum
2805,71,Other,90247.75,"Region X",4983.98,89711.64,Platinum
480,71,Female,95068.35,"Region I",4983.85,89709.30,Platinum
4984,54,Other,82752.86,"Region XIII",4982.58,89686.44,Platinum
7399,60,Female,77421.79,"Region IX",4980.82,89654.76,Platinum
9535,77,Other,70331.08,"Region II",4976.75,89581.50,Platinum
2555,63,Female,98560.51,"Region VIII",4974.18,89535.24,Platinum
555,58,Female,90249.86,"Region IV-A",4972.82,89510.76,Platinum
4640,64,Female,84922.34,"Region IV-A",4966.96,89405.28,Platinum
873,71,Other,99564.51,"Region XI",4966.82,89402.76,Platinum
5873,59,Female,86274.11,CAR,4965.01,89370.18,Platinum
7842,74,Female,96633.33,"Region I",4964.14,89354.52,Platinum
8355,71,Male,70707.56,"Region II",4963.07,89335.26,Platinum
5973,64,Male,75919.94,"Region VIII",4962.74,89329.32,Platinum
4145,53,Female,96338.49,"Region I",4962.24,89320.32,Platinum
5805,65,Other,85793.24,"Region IX",4953.14,89156.52,Platinum
3887,67,Male,96761.36,"Region VII",4951.86,89133.48,Platinum
7780,61,Other,78070.43,"Region XII",4942.40,88963.20,Platinum
1533,74,Male,87330.98,"Region XIII",4935.44,88837.92,Platinum
9610,75,Other,73647.90,"Region XI",4932.20,88779.60,Platinum
1665,72,Female,81199.68,"Region VI",4920.94,88576.92,Platinum
8175,53,Female,72510.14,NCR,4920.17,88563.06,Platinum
8385,71,Other,99545.05,"Region XI",4918.69,88536.42,Platinum
5911,58,Other,94987.56,"Region IV-B",4916.55,88497.90,Platinum
821,70,Female,70633.51,NCR,4916.22,88491.96,Platinum
5917,59,Female,95605.58,BARMM,4914.26,88456.68,Platinum
5652,63,Male,94127.73,"Region VII",4912.53,88425.54,Platinum
1313,53,Other,86678.34,CAR,4908.98,88361.64,Platinum
7053,65,Female,99872.63,BARMM,4907.64,88337.52,Platinum
7983,58,Female,90200.41,"Region IV-A",4903.12,88256.16,Platinum
9110,77,Female,75237.55,NCR,4900.10,88201.80,Platinum
9848,74,Other,73137.12,"Region V",4896.63,88139.34,Platinum
8736,68,Other,92766.00,"Region VII",4895.87,88125.66,Platinum
6260,52,Other,95790.54,"Region VII",4893.40,88081.20,Platinum
1271,54,Other,78216.06,"Region IX",4893.15,88076.70,Platinum
3981,73,Other,72348.73,"Region IV-B",4892.23,88060.14,Platinum
2664,51,Male,99872.46,BARMM,4891.63,88049.34,Platinum
874,66,Male,81391.37,"Region III",4891.60,88048.80,Platinum
1516,58,Male,90124.77,"Region XIII",4889.42,88009.56,Platinum
7088,65,Female,90424.71,"Region I",4882.41,87883.38,Platinum
8929,53,Other,96524.46,BARMM,4880.66,87851.88,Platinum
2101,55,Other,97721.56,"Region VII",4870.55,87669.90,Platinum
4232,54,Male,92297.98,"Region I",4868.90,87640.20,Platinum
9404,50,Male,84358.93,"Region XIII",4867.81,87620.58,Platinum
9156,52,Male,76918.63,"Region V",4867.70,87618.60,Platinum
971,58,Female,76246.83,"Region VIII",4863.85,87549.30,Platinum
9445,71,Male,84902.80,"Region III",4861.43,87505.74,Platinum
4997,77,Male,79882.27,"Region V",4860.43,87487.74,Platinum
1139,57,Female,89254.86,"Region IV-A",4859.77,87475.86,Platinum
4881,59,Other,85874.87,"Region XIII",4856.39,87415.02,Platinum
5077,58,Female,95143.77,"Region VII",4845.33,87215.94,Platinum
1219,70,Other,89362.09,"Region IV-A",4843.50,87183.00,Platinum
5793,60,Female,72343.57,"Region XI",4834.33,87017.94,Platinum
9476,66,Female,81456.05,"Region IX",4830.37,86946.66,Platinum
2030,62,Other,74312.68,"Region II",4824.78,86846.04,Platinum
599,63,Other,89126.43,"Region XIII",4818.29,86729.22,Platinum
9705,74,Female,92041.07,"Region VII",4818.18,86727.24,Platinum
4014,60,Other,87171.73,"Region IV-A",4817.81,86720.58,Platinum
666,78,Male,71176.63,BARMM,4814.05,86652.90,Platinum
6161,57,Other,94154.61,"Region X",4808.28,86549.04,Platinum
5148,66,Female,81480.32,"Region IX",4808.10,86545.80,Platinum
8592,54,Other,82913.37,"Region XII",4804.48,86480.64,Platinum
1172,65,Female,99497.82,"Region VII",4798.07,86365.26,Platinum
8822,58,Female,80632.36,"Region III",4798.05,86364.90,Platinum
2067,60,Other,86614.82,"Region XIII",4797.22,86349.96,Platinum
2084,51,Other,99813.82,"Region XI",4795.61,86320.98,Platinum
3016,57,Other,89296.44,"Region VI",4795.29,86315.22,Platinum
9316,61,Female,78010.04,"Region VIII",4790.48,86228.64,Platinum
913,55,Female,83677.17,CAR,4790.06,86221.08,Platinum
1160,76,Male,79286.28,"Region V",4787.55,86175.90,Platinum
5170,72,Male,81199.79,"Region IX",4785.87,86145.66,Platinum
2009,62,Female,78857.50,NCR,4785.56,86140.08,Platinum
7438,69,Male,73838.90,"Region XI",4781.47,86066.46,Platinum
5645,51,Other,90358.55,"Region IV-A",4779.97,86039.46,Platinum
4508,68,Female,82764.02,CAR,4770.80,85874.40,Platinum
429,67,Female,87044.36,"Region XIII",4770.78,85874.04,Platinum
6679,75,Other,97586.84,"Region VII",4769.91,85858.38,Platinum
173,61,Male,96894.67,"Region I",4766.69,85800.42,Platinum
6771,58,Other,89840.50,"Region VI",4766.55,85797.90,Platinum
9369,51,Other,94625.74,BARMM,4760.71,85692.78,Platinum
3121,70,Female,94066.91,"Region I",4760.20,85683.60,Platinum
5016,53,Male,86435.71,"Region XIII",4758.61,85654.98,Platinum
9226,64,Other,80156.18,"Region V",4756.67,85620.06,Platinum
1994,53,Other,81862.82,"Region XII",4749.52,85491.36,Platinum
6927,63,Male,74924.28,NCR,4744.95,85409.10,Platinum
1729,59,Other,86052.72,"Region XIII",4741.48,85346.64,Platinum
7867,58,Female,85101.04,CAR,4741.08,85339.44,Platinum
1229,60,Other,77393.76,"Region XII",4734.33,85217.94,Platinum
6495,57,Other,70280.66,"Region II",4732.79,85190.22,Platinum
7480,53,Other,72137.93,"Region XI",4731.75,85171.50,Platinum
7104,76,Male,79151.53,"Region V",4722.13,84998.34,Platinum
